MentalHealth_ID,User_ID,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Happiness_Index(1-10),Platform_ID
MH01,U001,3.1,7,,2,5,10,SM01
MH02,U002,5.1,7,8,5,3,10,SM02
MH03,U003,7.4,6,,1,,6,SM03
MH04,U004,5.7,7,8,1,1,8,SM04
MH05,U005,7.0,4,7,5,1,8,SM05
MH06,U006,6.6,5,7,4,3,8,SM02
MH07,U007,7.8,4,8,2,0,7,SM04
MH08,U008,7.4,5,6,1,4,7,SM06
MH09,U009,4.7,7,7,6,1,9,SM03
MH10,U010,6.6,6,8,0,2,,SM01
MH11,U011,2.8,7,6,2,0,7,SM06
MH12,U012,5.4,5,,3,,9,SM06
MH13,U013,7.0,7,10,7,1,8,SM03
MH14,U014,5.7,5,7,4,0,8,SM01
MH15,U015,6.3,7,7,4,3,9,SM05
MH16,U016,5.1,7,,2,5,,SM02
MH17,U017,7.5,5,8,4,4,7,SM01
MH18,U019,4.7,6,6,0,,9,SM06
MH19,U020,,6,6,,4,,SM04
MH20,U021,3.0,8,5,5,4,10,SM05
MH21,U022,6.4,7,6,5,3,10,SM04
MH22,U023,3.6,8,,,1,9,SM01
MH23,U026,5.7,6,7,3,2,,SM05
MH24,U027,6.2,5,8,5,0,6,SM05
MH25,U028,2.0,8,4,5,0,10,SM01
MH26,U029,4.3,6,6,5,2,10,SM05
MH27,U030,7.4,6,10,3,4,8,SM06
MH28,U031,7.1,5,,,2,,SM05
MH29,U032,,6,7,5,,7,SM04
MH30,U033,3.1,8,4,2,2,10,SM02
MH31,U035,6.8,8,7,2,2,9,SM02
MH32,U036,5.6,6,7,4,3,7,SM04
MH33,U037,7.7,4,8,0,3,8,SM01
MH34,U038,4.3,8,4,1,1,10,SM04
MH35,U039,4.6,4,6,5,2,9,SM01
MH36,U040,1.0,9,,5,,10,SM01
MH37,U041,7.2,5,7,4,1,10,SM05
MH38,U042,6.1,5,6,3,3,7,SM06
MH39,U043,,9,,0,0,10,SM02
MH40,U044,2.3,9,3,3,4,10,SM05
MH41,U045,3.9,6,6,4,1,8,SM05
MH42,U046,6.9,5,7,2,3,9,SM01
MH43,U047,,4,,2,1,8,SM01
MH44,U048,4.1,8,7,6,3,9,SM02
MH45,U049,3.7,8,6,3,1,9,SM04
MH46,U050,3.6,7,5,4,1,9,SM04
MH47,U051,2.0,9,4,5,3,10,SM05
MH48,U052,3.3,7,5,1,2,10,SM03
MH49,U053,3.6,7,5,3,3,10,SM03
MH50,U054,6.7,6,8,6,2,7,SM04
MH51,U055,5.2,6,6,7,3,8,SM03
MH52,U056,4.0,7,,3,3,10,SM04
MH53,U058,,7,6,4,1,9,SM05
MH54,U059,7.6,5,10,3,2,6,SM06
MH55,U060,8.4,4,8,6,4,7,SM05
MH56,U061,2.7,9,5,1,3,10,SM04
MH57,U062,5.6,6,7,2,1,9,SM04
MH58,U063,4.6,7,7,1,3,10,SM05
MH59,U064,4.4,,7,1,3,9,SM02
MH60,U065,6.5,4,9,4,3,5,SM04
MH61,U066,4.4,8,4,5,1,10,SM03
MH62,U067,4.6,,6,2,1,,SM03
MH63,U068,5.2,9,7,5,1,10,SM04
MH64,U069,4.8,6,7,,,7,SM04
