User_ID,Daily_Screen_Time(hrs),Happiness_Index(1-10),Platform_ID
U001,3.1,10,SM01
U002,5.1,10,SM02
U003,7.4,6,SM03
U004,5.7,8,SM04
U005,7.0,8,SM05
U006,6.6,8,SM02
U007,7.8,7,SM04
U008,7.4,7,SM06
U009,4.7,9,SM03
U011,2.8,7,SM06
U012,5.4,9,SM06
U013,7.0,8,SM03
U014,5.7,8,SM01
U015,6.3,9,SM05
U017,7.5,7,SM01
U019,4.7,9,SM06
U021,3.0,10,SM05
U022,6.4,10,SM04
U023,3.6,9,SM01
U027,6.2,6,SM05
U028,2.0,10,SM01
U029,4.3,10,SM05
U030,7.4,8,SM06
U033,3.1,10,SM02
U035,6.8,9,SM02
U036,5.6,7,SM04
U037,7.7,8,SM01
U038,4.3,10,SM04
U039,4.6,9,SM01
U040,1.0,10,SM01
U041,7.2,10,SM05
U042,6.1,7,SM06
U044,2.3,10,SM05
U045,3.9,8,SM05
U046,6.9,9,SM01
U048,4.1,9,SM02
U049,3.7,9,SM04
U050,3.6,9,SM04
U051,2.0,10,SM05
U052,3.3,10,SM03
U053,3.6,10,SM03
U054,6.7,7,SM04
U055,5.2,8,SM03
U056,4.0,10,SM04
U059,7.6,6,SM06
U060,8.4,7,SM05
U061,2.7,10,SM04
U062,5.6,9,SM04
U063,4.6,10,SM05
U064,4.4,9,SM02
U065,6.5,5,SM04
U066,4.4,10,SM03
U068,5.2,10,SM04
U069,4.8,7,SM04
U071,6.9,5,SM03
U072,7.4,8,SM04
U074,4.8,8,SM02
U075,4.2,8,SM02
U081,4.8,8,SM06
U082,6.6,8,SM04
U084,7.5,8,SM05
U086,5.7,9,SM04
U088,3.2,10,SM05
U089,7.1,6,SM06
U090,3.8,10,SM05
U092,5.5,9,SM02
U093,6.8,9,SM02
U096,3.9,10,SM04
U097,7.7,8,SM01
U098,6.1,6,SM01
U099,7.9,8,SM02
U100,3.5,10,SM01
U101,2.5,10,SM06
U102,6.3,7,SM01
U103,5.9,7,SM06
U104,6.0,9,SM01
U106,6.3,6,SM02
U107,6.2,9,SM06
U108,6.8,10,SM05
U109,6.4,7,SM02
U110,7.0,8,SM05
U111,7.3,8,SM04
U112,8.3,6,SM06
U113,4.3,9,SM02
U115,4.8,10,SM04
U116,4.0,10,SM05
U117,4.3,9,SM02
U119,6.3,9,SM01
U120,6.2,8,SM03
U121,5.1,9,SM05
U122,5.5,10,SM04
U123,7.0,8,SM06
U124,2.8,10,SM03
U125,5.5,9,SM06
U126,5.7,9,SM02
U127,6.9,8,SM01
U128,3.1,9,SM04
U129,8.2,7,SM06
U130,5.9,9,SM05
U131,6.0,7,SM02
U134,5.6,9,SM02
U135,7.7,8,SM05
U136,2.9,10,SM06
U137,5.8,10,SM04
U139,5.2,10,SM02
U140,4.8,10,SM05
U141,4.8,10,SM01
U142,5.8,10,SM01
U143,2.2,10,SM02
U144,7.2,8,SM06
U145,4.6,9,SM04
U146,5.7,10,SM02
U147,6.2,9,SM03
U148,4.6,10,SM04
U150,1.8,10,SM02
U151,6.8,6,SM05
U152,7.4,5,SM03
U153,2.4,9,SM02
U154,4.8,8,SM06
U156,5.2,10,SM02
U157,6.7,8,SM06
U158,7.3,8,SM03
U159,7.5,7,SM06
U160,7.9,5,SM06
U161,5.1,8,SM03
U162,3.4,8,SM03
U163,5.3,10,SM06
U164,6.6,8,SM01
U165,3.3,10,SM03
U166,8.5,8,SM02
U167,7.1,7,SM04
U168,5.1,10,SM05
U169,4.2,10,SM06
U170,4.3,10,SM06
U171,5.6,6,SM05
U172,5.1,7,SM01
U175,6.4,8,SM05
U176,5.4,10,SM06
U177,6.0,8,SM05
U178,5.1,9,SM04
U179,6.8,7,SM02
U180,6.8,7,SM03
U181,6.3,6,SM05
U182,6.6,8,SM06
U184,6.1,7,SM03
U185,7.7,5,SM06
U187,3.6,10,SM04
U188,5.4,7,SM01
U189,6.2,6,SM04
U190,4.1,10,SM05
U191,3.1,9,SM03
U192,4.9,10,SM05
U195,2.6,10,SM04
U196,6.5,8,SM02
U197,4.4,10,SM06
U198,7.3,6,SM03
U199,5.0,10,SM05
U200,5.5,9,SM05
U201,5.2,10,SM01
U202,4.3,9,SM04
U203,10.0,4,SM04
U205,7.3,7,SM05
U206,3.5,10,SM01
U207,6.2,7,SM06
U208,6.4,7,SM02
U209,5.5,9,SM03
U211,5.0,8,SM05
U213,9.8,6,SM02
U214,5.5,9,SM02
U215,6.4,7,SM04
U216,8.7,10,SM03
U217,3.9,10,SM05
U218,5.6,8,SM05
U219,5.0,10,SM02
U220,5.3,9,SM05
U222,4.2,8,SM03
U224,3.6,10,SM01
U225,7.3,5,SM06
U226,6.6,7,SM03
U227,4.6,8,SM03
U228,4.7,10,SM03
U229,6.0,9,SM01
U231,8.8,6,SM02
U233,6.2,8,SM02
U234,6.7,8,SM04
U235,4.5,10,SM01
U236,7.5,5,SM03
U237,5.7,9,SM02
U239,5.1,9,SM02
U240,7.9,7,SM06
U241,6.2,8,SM03
U242,9.4,5,SM06
U243,4.8,10,SM03
U244,5.9,7,SM01
U245,3.6,10,SM05
U246,4.5,9,SM02
U247,6.6,7,SM02
U248,7.5,6,SM04
U249,10.8,4,SM06
U250,5.3,8,SM02
U251,3.8,9,SM01
U252,6.9,8,SM05
U253,3.5,10,SM01
U254,6.5,8,SM06
U255,4.6,9,SM04
U256,5.9,5,SM02
U257,7.5,7,SM01
U258,5.3,9,SM03
U259,7.2,6,SM05
U260,7.1,7,SM01
U261,2.1,10,SM05
U262,3.9,10,SM02
U264,9.1,4,SM04
U265,5.3,8,SM04
U266,8.7,7,SM03
U268,4.5,8,SM02
U269,6.9,6,SM01
U270,5.8,10,SM03
U271,6.5,8,SM06
U273,8.0,6,SM04
U274,6.9,9,SM03
U275,6.2,5,SM04
U276,4.3,10,SM05
U277,6.1,9,SM04
U278,5.0,10,SM03
U279,2.5,10,SM05
U280,5.4,7,SM06
U283,1.5,10,SM02
U284,5.9,7,SM03
U285,3.4,10,SM05
U286,6.1,9,SM02
U287,6.2,7,SM03
U288,5.3,9,SM06
U289,7.0,6,SM06
U290,3.3,9,SM01
U292,4.2,8,SM02
U293,2.7,10,SM05
U294,5.0,10,SM05
U295,1.7,10,SM04
U296,6.0,7,SM06
U297,5.0,8,SM06
U298,7.7,5,SM03
U299,6.7,9,SM01
U300,3.0,10,SM02
U301,4.0,10,SM01
U302,6.4,7,SM01
U303,7.0,8,SM03
U304,7.7,7,SM01
U306,5.3,10,SM03
U307,6.2,7,SM04
U308,7.8,6,SM03
U309,5.0,8,SM01
U310,6.2,7,SM04
U311,4.9,9,SM04
U312,4.5,9,SM04
U314,4.3,8,SM05
U315,5.3,9,SM01
U316,3.6,10,SM04
U319,4.4,8,SM02
U320,5.5,10,SM01
U326,10.8,5,SM05
U327,3.9,9,SM04
U328,6.2,8,SM01
U329,3.8,10,SM04
U331,6.0,7,SM01
U332,4.3,10,SM04
U334,5.2,10,SM05
U335,6.5,7,SM02
U337,5.4,8,SM01
U338,9.1,7,SM06
U339,7.2,7,SM02
U340,6.1,9,SM03
U341,4.7,8,SM06
U343,5.9,8,SM06
U344,6.3,8,SM01
U345,3.6,10,SM05
U346,6.7,8,SM06
U347,3.5,10,SM03
U348,8.4,8,SM04
U349,4.1,10,SM02
U350,6.0,8,SM06
