User_ID,Exercise_Frequency(week),Sleep_Quality(1-10),Stress_Level(1-10),Platform_ID
U002,3,7,8,SM02
U004,1,7,8,SM04
U005,1,4,7,SM05
U006,3,5,7,SM02
U007,0,4,8,SM04
U008,4,5,6,SM06
U009,1,7,7,SM03
U010,2,6,8,SM01
U011,0,7,6,SM06
U013,1,7,10,SM03
U014,0,5,7,SM01
U015,3,7,7,SM05
U017,4,5,8,SM01
U020,4,6,6,SM04
U021,4,8,5,SM05
U022,3,7,6,SM04
U026,2,6,7,SM05
U027,0,5,8,SM05
U028,0,8,4,SM01
U029,2,6,6,SM05
U030,4,6,10,SM06
U033,2,8,4,SM02
U035,2,8,7,SM02
U036,3,6,7,SM04
U037,3,4,8,SM01
U038,1,8,4,SM04
U039,2,4,6,SM01
U041,1,5,7,SM05
U042,3,5,6,SM06
U044,4,9,3,SM05
U045,1,6,6,SM05
U046,3,5,7,SM01
U048,3,8,7,SM02
U049,1,8,6,SM04
U050,1,7,5,SM04
U051,3,9,4,SM05
U052,2,7,5,SM03
U053,3,7,5,SM03
U054,2,6,8,SM04
U055,3,6,6,SM03
U058,1,7,6,SM05
U059,2,5,10,SM06
U060,4,4,8,SM05
U061,3,9,5,SM04
U062,1,6,7,SM04
U063,3,7,7,SM05
U065,3,4,9,SM04
U066,1,8,4,SM03
U068,1,9,7,SM04
U072,3,6,7,SM04
U075,2,8,8,SM02
U077,1,4,8,SM02
U081,2,6,7,SM06
U082,1,6,8,SM04
U084,4,4,7,SM05
U086,2,5,6,SM04
U088,1,8,7,SM05
U089,5,3,8,SM06
U090,0,10,6,SM05
U092,2,6,6,SM02
U093,2,7,6,SM02
U094,1,7,7,SM05
U096,3,7,6,SM04
U097,3,4,7,SM01
U098,4,4,9,SM01
U099,2,5,8,SM02
U100,3,8,4,SM01
U101,3,9,4,SM06
U103,4,4,7,SM06
U104,2,6,7,SM01
U106,2,7,8,SM02
U107,3,7,7,SM06
U108,1,7,7,SM05
U109,1,6,8,SM02
U110,2,6,6,SM05
U111,4,4,6,SM04
U112,2,5,10,SM06
U113,5,6,8,SM02
U115,3,7,6,SM04
U116,2,9,5,SM05
U117,4,7,6,SM02
U119,4,6,7,SM01
U120,3,5,8,SM03
U121,2,6,5,SM05
U122,2,8,6,SM04
U123,5,4,6,SM06
U124,3,7,5,SM03
U125,1,7,7,SM06
U126,1,7,7,SM02
U128,3,7,6,SM04
U129,4,5,7,SM06
U130,0,5,5,SM05
U131,1,5,8,SM02
U132,4,8,4,SM02
U134,3,8,6,SM02
U135,1,4,10,SM05
U136,1,8,5,SM06
U137,4,6,7,SM04
U139,1,7,5,SM02
U140,1,8,5,SM05
U142,1,6,6,SM01
U143,1,10,5,SM02
U144,1,7,8,SM06
U145,2,8,7,SM04
U146,1,7,5,SM02
U147,1,5,7,SM03
U148,3,7,5,SM04
U149,2,7,6,SM01
U150,3,9,7,SM02
U151,0,5,8,SM05
U152,3,4,9,SM03
U153,6,7,7,SM02
U156,4,7,5,SM02
U157,4,5,7,SM06
U158,3,5,7,SM03
U159,3,5,6,SM06
U160,4,5,9,SM06
U161,3,5,7,SM03
U162,1,9,7,SM03
U163,0,7,6,SM06
U164,0,6,8,SM01
U165,2,9,5,SM03
U166,3,4,10,SM02
U167,1,6,8,SM04
U168,4,6,5,SM05
U169,2,8,6,SM06
U170,2,8,6,SM06
U171,1,5,7,SM05
U172,0,7,7,SM01
U173,3,6,6,SM05
U175,2,6,8,SM05
U176,0,6,6,SM06
U178,0,7,4,SM04
U179,1,5,10,SM02
U180,2,4,7,SM03
U182,1,6,7,SM06
U184,4,7,9,SM03
U185,4,3,9,SM06
U186,4,6,7,SM01
U187,5,9,5,SM04
U188,4,7,8,SM01
U189,2,6,9,SM04
U190,4,8,6,SM05
U191,3,7,7,SM03
U192,3,7,6,SM05
U193,3,7,7,SM04
U194,1,6,8,SM04
U195,1,9,4,SM04
U196,2,5,7,SM02
U197,3,8,7,SM06
U198,1,5,7,SM03
U199,3,7,5,SM05
U200,6,5,6,SM05
U201,0,7,6,SM01
U202,3,9,7,SM04
U203,2,3,10,SM04
U206,2,9,5,SM01
U207,3,4,8,SM06
U208,2,5,8,SM02
U211,0,6,6,SM05
U213,0,4,9,SM02
U214,4,7,7,SM02
U215,3,4,6,SM04
U216,3,6,7,SM03
U217,0,9,5,SM05
U218,2,6,6,SM05
U219,4,8,6,SM02
U220,2,6,6,SM05
U222,2,6,6,SM03
U223,2,8,6,SM01
U224,1,7,5,SM01
U225,4,5,9,SM06
U226,2,5,7,SM03
U227,2,9,6,SM03
U229,3,8,7,SM01
U230,3,8,5,SM02
U231,1,4,8,SM02
U233,3,6,8,SM02
U234,2,7,7,SM04
U235,3,8,6,SM01
U236,5,4,9,SM03
U237,2,7,7,SM02
U238,2,6,8,SM01
U240,2,6,8,SM06
U241,3,5,7,SM03
U242,3,3,9,SM06
U243,5,6,5,SM03
U244,3,6,8,SM01
U245,2,8,5,SM05
U246,1,6,6,SM02
U247,3,6,7,SM02
U248,1,6,9,SM04
U249,3,5,10,SM06
U251,2,7,5,SM01
U252,2,6,8,SM05
U253,0,9,4,SM01
U255,3,8,7,SM04
U256,3,4,7,SM02
U257,0,4,8,SM01
U258,5,7,8,SM03
U259,2,4,7,SM05
U260,2,4,8,SM01
U261,1,8,4,SM05
U263,4,6,3,SM03
U264,4,4,9,SM04
U265,2,7,7,SM04
U268,2,7,6,SM02
U270,2,8,6,SM03
U271,3,5,6,SM06
U273,3,5,8,SM04
U274,0,5,7,SM03
U275,3,3,8,SM04
U276,2,7,5,SM05
U277,5,7,8,SM04
U280,2,5,8,SM06
U283,5,9,4,SM02
U284,2,6,9,SM03
U285,2,7,7,SM05
U286,3,5,6,SM02
U287,3,6,8,SM03
U288,4,6,6,SM06
U289,2,4,8,SM06
U290,4,7,5,SM01
U292,2,9,7,SM02
U293,3,8,5,SM05
U294,2,7,6,SM05
U295,6,9,4,SM04
U296,0,5,7,SM06
U297,4,5,7,SM06
U298,0,4,8,SM03
U299,2,6,5,SM01
U300,2,8,5,SM02
U301,5,8,4,SM01
U303,4,5,6,SM03
U304,1,4,7,SM01
U306,2,6,6,SM03
U307,3,5,7,SM04
U308,2,5,9,SM03
U309,4,5,6,SM01
U310,4,8,9,SM04
U311,3,7,6,SM04
U312,1,7,6,SM04
U313,1,5,8,SM03
U314,1,7,7,SM05
U315,0,6,6,SM01
U316,4,7,5,SM04
U319,5,8,7,SM02
U320,2,9,5,SM01
U322,2,6,6,SM04
U326,2,2,9,SM05
U327,2,6,4,SM04
U328,2,6,7,SM01
U329,3,7,4,SM04
U331,2,8,7,SM01
