User_ID,Days_Without_Social_Media,Sleep_Quality(1-10),Stress_Level(1-10),Happiness_Index(1-10),Platform_ID
U001,2,7,,10,SM01
U002,5,7,8,10,SM02
U003,1,6,,6,SM03
U004,1,7,8,8,SM04
U005,5,4,7,8,SM05
U006,4,5,7,8,SM02
U007,2,4,8,7,SM04
U008,1,5,6,7,SM06
U009,6,7,7,9,SM03
U011,2,7,6,7,SM06
U012,3,5,,9,SM06
U013,7,7,10,8,SM03
U014,4,5,7,8,SM01
U015,4,7,7,9,SM05
U017,4,5,8,7,SM01
U019,0,6,6,9,SM06
U021,5,8,5,10,SM05
U022,5,7,6,10,SM04
U027,5,5,8,6,SM05
U028,5,8,4,10,SM01
U029,5,6,6,10,SM05
U030,3,6,10,8,SM06
U032,5,6,7,7,SM04
U033,2,8,4,10,SM02
U035,2,8,7,9,SM02
U036,4,6,7,7,SM04
U037,0,4,8,8,SM01
U038,1,8,4,10,SM04
U039,5,4,6,9,SM01
U040,5,9,,10,SM01
U041,4,5,7,10,SM05
U042,3,5,6,7,SM06
U043,0,9,,10,SM02
U044,3,9,3,10,SM05
U045,4,6,6,8,SM05
U046,2,5,7,9,SM01
U047,2,4,,8,SM01
U048,6,8,7,9,SM02
U049,3,8,6,9,SM04
U050,4,7,5,9,SM04
U051,5,9,4,10,SM05
U052,1,7,5,10,SM03
U053,3,7,5,10,SM03
U054,6,6,8,7,SM04
U055,7,6,6,8,SM03
U056,3,7,,10,SM04
U058,4,7,6,9,SM05
U059,3,5,10,6,SM06
U060,6,4,8,7,SM05
U061,1,9,5,10,SM04
U062,2,6,7,9,SM04
U063,1,7,7,10,SM05
U064,1,,7,9,SM02
U065,4,4,9,5,SM04
U066,5,8,4,10,SM03
U068,5,9,7,10,SM04
U071,3,5,,5,SM03
U072,2,6,7,8,SM04
U075,5,8,8,8,SM02
U081,2,6,7,8,SM06
U082,5,6,8,8,SM04
U083,7,7,,8,SM04
U084,2,4,7,8,SM05
U086,3,5,6,9,SM04
U088,3,8,7,10,SM05
U089,6,3,8,6,SM06
U090,5,10,6,10,SM05
U092,4,6,6,9,SM02
U093,6,7,6,9,SM02
U096,2,7,6,10,SM04
U097,2,4,7,8,SM01
U098,0,4,9,6,SM01
U099,0,5,8,8,SM02
U100,3,8,4,10,SM01
U101,6,9,4,10,SM06
U102,2,,7,7,SM01
U103,2,4,7,7,SM06
U104,6,6,7,9,SM01
U106,0,7,8,6,SM02
U107,1,7,7,9,SM06
U108,2,7,7,10,SM05
U109,0,6,8,7,SM02
U110,3,6,6,8,SM05
U111,5,4,6,8,SM04
U112,0,5,10,6,SM06
U113,3,6,8,9,SM02
U115,3,7,6,10,SM04
U116,3,9,5,10,SM05
U117,3,7,6,9,SM02
U118,1,6,7,9,SM06
U119,6,6,7,9,SM01
U120,5,5,8,8,SM03
U121,5,6,5,9,SM05
U122,5,8,6,10,SM04
U123,0,4,6,8,SM06
U124,5,7,5,10,SM03
U126,0,7,7,9,SM02
U128,4,7,6,9,SM04
U129,6,5,7,7,SM06
U130,4,5,5,9,SM05
U131,1,5,8,7,SM02
U132,6,8,4,10,SM02
U134,2,8,6,9,SM02
U135,2,4,10,8,SM05
U136,0,8,5,10,SM06
U137,3,6,7,10,SM04
U139,2,7,5,10,SM02
U140,4,8,5,10,SM05
U141,1,6,5,10,SM01
U142,3,6,6,10,SM01
U143,4,10,5,10,SM02
U144,3,7,8,8,SM06
U145,0,8,7,9,SM04
U146,2,7,5,10,SM02
