User_ID,Age,Gender,Platform_ID,Happiness_Index(1-10)
U002,30,Other,SM02,10
U004,36,Female,SM04,8
U005,34,Female,SM05,8
U006,38,Male,SM02,8
U007,26,Female,SM04,7
U008,26,Female,SM06,7
U009,39,Male,SM03,9
U011,18,Female,SM06,7
U012,37,Other,SM06,9
U013,17,Female,SM03,8
U014,39,Female,SM01,8
U015,45,Male,SM05,9
U017,36,Female,SM01,7
U021,40,Female,SM05,10
U022,42,Other,SM04,10
U023,43,Male,SM01,9
U027,22,Female,SM05,6
U028,36,Female,SM01,10
U029,24,Male,SM05,10
U030,33,Male,SM06,8
U033,29,Female,SM02,10
U035,41,Other,SM02,9
U036,17,Other,SM04,7
U037,35,Female,SM01,8
U038,43,Female,SM04,10
U039,22,Other,SM01,9
U040,23,Female,SM01,10
U041,29,Male,SM05,10
U042,32,Male,SM06,7
U043,19,Male,SM02,10
U044,17,Other,SM05,10
U045,21,Female,SM05,8
U046,19,Male,SM01,9
U048,33,Female,SM02,9
U049,41,Male,SM04,9
U050,49,Male,SM04,9
U051,25,Female,SM05,10
U052,29,Female,SM03,10
U053,46,Female,SM03,10
U054,30,Female,SM04,7
U055,23,Female,SM03,8
U058,36,Female,SM05,9
U059,31,Male,SM06,6
U060,33,Male,SM05,7
U061,39,Male,SM04,10
U062,41,Female,SM04,9
U063,40,Female,SM05,10
U065,30,Male,SM04,5
U066,16,Male,SM03,10
U068,22,Male,SM04,10
U072,23,Female,SM04,8
U074,26,Female,SM02,8
U075,32,Female,SM02,8
U081,24,Female,SM06,8
U082,23,Female,SM04,8
U084,49,Male,SM05,8
U086,38,Female,SM04,9
U088,37,Female,SM05,10
U089,42,Male,SM06,6
U090,16,Male,SM05,10
U092,18,Male,SM02,9
U093,16,Male,SM02,9
U094,20,Male,SM05,8
U096,29,Male,SM04,10
U097,42,Male,SM01,8
U098,24,Female,SM01,6
U099,30,Female,SM02,8
U100,30,Female,SM01,10
U101,41,Male,SM06,10
U103,47,Male,SM06,7
U104,47,Male,SM01,9
U106,45,Male,SM02,6
U107,38,Male,SM06,9
U108,30,Male,SM05,10
U109,44,Male,SM02,7
U110,28,Male,SM05,8
U111,47,Male,SM04,8
U112,22,Female,SM06,6
U113,37,Female,SM02,9
U115,17,Female,SM04,10
U116,21,Female,SM05,10
U117,43,Male,SM02,9
U119,35,Female,SM01,9
U120,45,Male,SM03,8
U121,26,Male,SM05,9
U122,43,Female,SM04,10
U123,40,Female,SM06,8
U124,48,Male,SM03,10
U126,42,Male,SM02,9
U128,18,Female,SM04,9
U129,21,Male,SM06,7
U130,23,Male,SM05,9
U131,42,Female,SM02,7
U134,39,Female,SM02,9
U135,30,Female,SM05,8
U136,47,Female,SM06,10
U137,47,Female,SM04,10
U139,27,Male,SM02,10
U140,17,Female,SM05,10
U142,32,Male,SM01,10
U143,17,Male,SM02,10
U144,17,Male,SM06,8
U145,43,Male,SM04,9
U146,38,Male,SM02,10
U147,47,Male,SM03,9
U148,48,Male,SM04,10
U150,34,Female,SM02,10
U151,17,Female,SM05,6
U152,41,Female,SM03,5
U153,47,Female,SM02,9
U154,21,Male,SM06,8
U157,26,Female,SM06,8
U158,32,Male,SM03,8
U159,39,Male,SM06,7
U160,20,Male,SM06,5
U161,49,Male,SM03,8
U162,21,Female,SM03,8
U163,37,Female,SM06,10
U164,26,Male,SM01,8
U165,31,Other,SM03,10
U166,48,Female,SM02,8
U167,24,Male,SM04,7
U168,21,Male,SM05,10
U169,31,Male,SM06,10
U170,44,Male,SM06,10
U171,18,Male,SM05,6
U172,35,Male,SM01,7
U173,34,Male,SM05,8
U175,18,Female,SM05,8
U176,34,Male,SM06,10
U177,35,Female,SM05,8
U178,47,Male,SM04,9
U179,22,Other,SM02,7
U180,48,Male,SM03,7
U182,16,Other,SM06,8
U183,26,Female,SM02,10
U184,43,Female,SM03,7
U185,40,Male,SM06,5
U187,46,Female,SM04,10
U188,45,Female,SM01,7
U189,22,Female,SM04,6
U190,31,Female,SM05,10
U191,41,Male,SM03,9
U192,17,Female,SM05,10
U196,47,Female,SM02,8
U197,24,Male,SM06,10
U198,34,Male,SM03,6
U199,31,Female,SM05,10
U200,18,Male,SM05,9
U201,35,Female,SM01,10
U202,39,Male,SM04,9
U203,48,Female,SM04,4
U205,26,Male,SM05,7
U206,23,Male,SM01,10
U207,35,Male,SM06,7
U208,40,Male,SM02,7
U210,44,Male,SM06,9
U211,33,Female,SM05,8
U213,17,Female,SM02,6
U214,31,Female,SM02,9
U215,48,Female,SM04,7
U216,19,Female,SM03,10
U217,48,Male,SM05,10
U218,29,Male,SM05,8
U219,36,Female,SM02,10
U220,35,Female,SM05,9
U222,22,Male,SM03,8
U224,32,Female,SM01,10
U225,48,Male,SM06,5
U226,27,Male,SM03,7
U227,37,Female,SM03,8
U229,45,Female,SM01,9
U231,42,Female,SM02,6
U232,42,Male,SM05,8
U233,49,Male,SM02,8
U234,36,Male,SM04,8
U235,45,Female,SM01,10
U236,48,Female,SM03,5
U237,43,Female,SM02,9
U239,20,Female,SM02,9
U240,34,Male,SM06,7
U241,19,Female,SM03,8
U242,32,Male,SM06,5
U243,43,Male,SM03,10
U244,45,Male,SM01,7
U245,44,Male,SM05,10
U246,21,Female,SM02,9
U247,39,Female,SM02,7
U249,46,Female,SM06,4
U250,48,Male,SM02,8
U251,36,Female,SM01,9
U252,47,Female,SM05,8
U253,38,Female,SM01,10
U254,48,Male,SM06,8
U255,18,Female,SM04,9
U256,33,Female,SM02,5
U257,40,Male,SM01,7
U258,46,Male,SM03,9
U259,18,Female,SM05,6
U260,39,Female,SM01,7
U261,47,Female,SM05,10
U262,37,Female,SM02,10
U264,17,Male,SM04,4
U265,42,Male,SM04,8
U266,17,Male,SM03,7
U268,32,Male,SM02,8
U269,48,Female,SM01,6
U270,24,Female,SM03,10
U271,44,Female,SM06,8
U273,40,Female,SM04,6
U274,39,Male,SM03,9
U275,28,Female,SM04,5
U276,22,Male,SM05,10
U277,35,Male,SM04,9
U280,31,Male,SM06,7
U283,38,Female,SM02,10
U284,30,Female,SM03,7
U285,43,Female,SM05,10
U286,49,Male,SM02,9
U287,17,Male,SM03,7
