;User_ID;Social_Media_Platform;Daily_Screen_Time(hrs);Sleep_Quality(1-10);Stress_Level(1-10);Days_Without_Social_Media;Exercise_Frequency(week);Happiness_Index(1-10)
0;U001;SM01;3,1;7;;2;5;10
1;U002;SM02;5,1;7;8;5;3;10
2;U003;SM03;7,4;6;;1;6;6
3;U004;SM04;5,7;7;8;1;1;8
4;U005;SM05;7;4;7;5;1;8
5;U006;SM02;6,6;5;7;4;3;8
6;U007;SM04;7,8;4;8;2;0;7
7;U008;SM06;7,4;5;6;1;4;7
8;U009;SM03;4,7;7;7;6;1;9
9;U010;SM01;6,6;6;8;0;2;
10;U011;SM06;2,8;7;6;2;0;7
11;U012;SM06;5,4;5;;3;10;9
12;U013;SM03;7;7;10;7;1;8
13;U014;SM01;5,7;5;7;4;0;8
14;U015;SM05;6,3;7;7;4;3;9
15;U016;SM02;5,1;7;;2;5;
16;U017;SM01;7,5;5;8;4;4;7
18;U019;SM06;4,7;6;6;0;7;9
19;U020;SM04;;6;6;;4;
20;U021;SM05;3;8;5;5;4;10
21;U022;SM04;6,4;7;6;5;3;10
22;U023;SM01;3,6;8;;;1;9
25;U026;SM05;5,7;6;7;3;2;
26;U027;SM05;6,2;5;8;5;0;6
27;U028;SM01;2;8;4;5;0;10
28;U029;SM05;4,3;6;6;5;2;10
29;U030;SM06;7,4;6;10;3;4;8
30;U031;SM05;7,1;5;;;2;
31;U032;SM04;;6;7;5;12;7
32;U033;SM02;3,1;8;4;2;2;10
34;U035;SM02;6,8;8;7;2;2;9
35;U036;SM04;5,6;6;7;4;3;7
36;U037;SM01;7,7;4;8;0;3;8
37;U038;SM04;4,3;8;4;1;1;10
38;U039;SM01;4,6;4;6;5;2;9
39;U040;SM01;1;9;;5;10;10
40;U041;SM05;7,2;5;7;4;1;10
41;U042;SM06;6,1;5;6;3;3;7
42;U043;SM02;;9;;0;0;10
43;U044;SM05;2,3;9;3;3;4;10
44;U045;SM05;3,9;6;6;4;1;8
45;U046;SM01;6,9;5;7;2;3;9
46;U047;SM01;;4;;2;1;8
47;U048;SM02;4,1;8;7;6;3;9
48;U049;SM04;3,7;8;6;3;1;9
49;U050;SM04;3,6;7;5;4;1;9
50;U051;SM05;2;9;4;5;3;10
51;U052;SM03;3,3;7;5;1;2;10
52;U053;SM03;3,6;7;5;3;3;10
53;U054;SM04;6,7;6;8;6;2;7
54;U055;SM03;5,2;6;6;7;3;8
55;U056;SM04;4;7;;3;3;10
57;U058;SM05;;7;6;4;1;9
58;U059;SM06;7,6;5;10;3;2;6
59;U060;SM05;8,4;4;8;6;4;7
60;U061;SM04;2,7;9;5;1;3;10
61;U062;SM04;5,6;6;7;2;1;9
62;U063;SM05;4,6;7;7;1;3;10
63;U064;SM02;4,4;;7;1;3;9
64;U065;SM04;6,5;4;9;4;3;5
65;U066;SM03;4,4;8;4;5;1;10
66;U067;SM03;4,6;;6;2;1;
67;U068;SM04;5,2;9;7;5;1;10
68;U069;SM04;4,8;6;7;;;7
70;U071;SM03;6,9;5;;3;3;5
71;U072;SM04;7,4;6;7;2;3;8
72;U073;SM04;;;5;1;5;
73;U074;SM02;4,8;6;;;4;8
74;U075;SM02;4,2;8;8;5;2;8
76;U077;SM02;9,7;4;8;5;1;
77;U078;SM06;7,2;6;9;1;;
78;U079;SM03;4;7;;2;4;
80;U081;SM06;4,8;6;7;2;2;8
81;U082;SM04;6,6;6;8;5;1;8
